Rank,Name,Total_Rev,Domestic_Rev,Foreign_Rev,Foreign_Percent,Domestic_Percent
76,"Robin Hood",85882380,30824628,55057752,35.9,64.1
77,"Mortal Engines",83672673,15951040,67721633,19.1,80.9
78,"How Long Will I Love U",82881319,746933,82134386,0.9,99.1
79,"Den of Thieves",80509622,44947622,35562000,55.8,44.2
80,Hereditary,79336821,44069456,35267365,55.5,44.5
81,Tag,78130625,54730625,23400000,70.1,29.9
82,Vice,76073488,47836282,28237206,62.9,37.1
83,Widows,75984700,42402632,33582068,55.8,44.2
84,"Sicario: Day of the Soldado",75836683,50072235,25764448,66,34
85,Searching,75462037,26020957,49441080,34.5,65.5
86,"The Spy Who Dumped Me",75320680,33562069,41758611,44.6,55.4
87,"Second Act",72282227,39282227,33000000,54.3,45.7
88,Sanju,71535130,7909317,63625813,11.1,88.9
89,"Spirited Away 2018 Re-release",70186029,1175067,69010962,1.7,98.3
90,Shoplifters,67998954,3313513,64685441,4.9,95.1
91,"12 Strong",67450815,45819713,21631102,67.9,32.1
92,"Love, Simon",66316289,40826341,25489948,61.6,38.4
93,"Mile 22",66308758,36108758,30200000,54.5,45.5
94,"Life of the Party",65859911,53059911,12800000,80.6,19.4
95,Capernaum,64398132,1661096,62737036,2.6,97.4
96,"Isle of Dogs",64241499,32015231,32226268,49.8,50.2
97,Adrift,59945012,31445012,28500000,52.5,47.5
98,"The 15:17 to Paris",57076286,36276286,20800000,63.6,36.4
99,"Early Man",54622814,8267544,46355270,15.1,84.9
100,Peppermint,53918723,35418723,18500000,65.7,34.3
101,"Teen Titans GO! to the Movies",52090236,29790236,22300000,57.2,42.8
102,"Slender Man",51738549,30569484,21169065,59.1,40.9
103,"Breaking In",51411620,46840590,4571030,91.1,8.9
104,"Once Upon a Deadpool 2018 Re-release",50500309,6100309,44400000,12.1,87.9
105,"Death Wish",49562710,34017028,15545682,68.6,31.4
106,Andhadhun,49391206,1193046,48198160,2.4,97.6
107,"Golden Job",47279677,285795,46993882,0.6,99.4
108,"Mary Queen of Scots",46672564,16468499,30204065,35.3,64.7
109,"Uncle Drew",46664414,42469946,4194468,91,9
110,"Tyler Perry's Acrimony",46403669,43549096,2854573,93.8,6.2
111,"Asterix: The Secret of the Magic Potion",46153570,1271953,44881617,2.8,97.2
112,Winchester,44019588,25091816,18927772,57,43
113,Annihilation,43070915,32732301,10338614,76,24
114,"The Possession of Hannah Grace",43016528,14837422,28179106,34.5,65.5
115,"Long Day's Journey Into Night",42130435,521365,41609070,1.2,98.8
116,Overlord,41657844,21704844,19953000,52.1,47.9
117,"The Great Battle",41509280,472166,41037114,1.1,98.9
118,"The Darkest Minds",41142379,12695691,28446688,30.9,69.1
119,"Holmes & Watson",40466970,30573626,9893344,75.6,24.4
120,"Show Dogs",39156854,17857020,21299834,45.6,54.4
121,Believer,39047153,365639,38681514,0.9,99.1
122,"The Spy Gone North",38844509,500803,38343706,1.3,98.7
123,"On the Basis of Sex",38673750,24622687,14051063,63.7,36.3
124,"Till The End Of The World",37013733,118660,36895073,0.3,99.7
125,"Nothing to Lose",36075317,1016188,35059129,2.8,97.2
126,"Mia and the White Lion",35487190,399471,35087719,1.1,98.9
127,"The Girl in the Spider's Web",35164920,14841338,20323582,42.2,57.8
128,"The Hate U Give",34934009,29719483,5214526,85.1,14.9
129,"Nobody's Fool",33532593,31713110,1819483,94.6,5.4
130,"The Hurricane Heist",32517248,6115825,26401423,18.8,81.2
131,"Bad Times at the El Royale",31882724,17839115,14043609,56,44
132,"Hunter Killer",31672678,15767460,15905218,49.8,50.2
133,"Super Troopers 2",31626386,30617396,1008990,96.8,3.2
134,"Baaghi 2",31210089,1319579,29890510,4.2,95.8
135,"The Strangers: Prey at Night",31039126,24586708,6452418,79.2,20.8
136,"Free Solo",29318861,17541090,11777771,59.8,40.2
137,Default,27709716,203775,27505941,0.7,99.3
138,"One Cut of the Dead",27590180,52406,27537774,0.2,99.8
139,Mirai,27526961,812794,26714167,3,97
140,"The Happytime Murders",27506452,20706452,6800000,75.3,24.7
141,"Midnight Sun",27365467,9561064,17804403,34.9,65.1
142,"Pad Man",27258765,1670192,25588573,6.1,93.9
143,"My Neighbor Totoro 2018 Re-release",27083857,1144649,25939208,4.2,95.8
144,"White Boy Rick",25957482,24011188,1946294,92.5,7.5
145,"Keys To The Heart",25375866,75134,25300732,0.3,99.7
146,"Stan & Ollie",24420923,5470235,18950688,22.4,77.6
147,"The Accidental Detective 2: In Action",24243825,179045,24064780,0.7,99.3
148,"Pokémon the Movie: The Power of Us",23740788,789170,22951618,3.3,96.7
149,"Paul, Apostle of Christ",23039243,17560475,5478768,76.2,23.8
150,Padmaavat,22991060,11846060,11145000,51.5,48.5
151,"Won't You Be My Neighbor?",22842400,22835787,6613,100,0
152,"Mojin: The Worm Valley",22381583,101516,22280067,0.5,99.5
153,"Big Brother",22090304,85624,22004680,0.4,99.6
154,"Master Z: The Ip Man Legacy",21832649,209454,21623195,1,99
155,"Proud Mary",21753365,20877013,876352,96,4
156,"The Prodigy",21150265,14856291,6293974,70.2,29.8
157,"Gonjiam: Haunted Asylum",21041950,115252,20926698,0.5,99.5
158,"My Hero Academia: Two Heroes",21022724,5754556,15268168,27.4,72.6
159,SuperFly,20780685,20545116,235569,98.9,1.1
160,"If Beale Street Could Talk",20572691,14915773,5656918,72.5,27.5
161,"Burn the Stage: The Movie",20347513,4201819,16145694,20.7,79.3
162,"Cold War 2018 Re-release",20272780,4580048,15692732,22.6,77.4
163,"They Shall Not Grow Old 2018 Re-release",19130011,17956913,1173098,93.9,6.1
164,"Oolong Courtyard: KungFu School",19129015,37727,19091288,0.2,99.8
165,"Detective K: Secret of the Living Dead",18603476,104013,18499463,0.6,99.4
166,Airpocalypse,18491089,105678,18385411,0.6,99.4
167,"The Wife",18205312,9601092,8604220,52.7,47.3
168,"Sorry to Bother You",18170707,17493096,677611,96.3,3.7
169,"Hell Fest",18159691,11107431,7052260,61.2,38.8
170,"Everybody Knows",17997350,2660165,15337185,14.8,85.2
171,Chappaquiddick,17986671,17395520,591151,96.7,3.3
172,"Beautiful Boy",17877506,8986631,8890875,50.3,49.7
173,"The Old Man & the Gun",17860397,11277120,6583277,63.1,36.9
174,"The Children Act",17696794,547750,17149044,3.1,96.9
175,"Operation Finale",17612099,17612099,0,100,0
176,"Loving Pablo",17535962,22017,17513945,0.1,99.9
177,"Forever My Girl",16376066,16376066,0,100,0
178,"Unfriended: Dark Web",16024987,8866745,7158242,55.3,44.7
179,"Finding Your Feet",15845593,1418682,14426911,9,91
180,"Feng Shui",15702302,64147,15638155,0.4,99.6
181,Tully,15636462,9369755,6266707,59.9,40.1
182,"The Negotiation",15229193,110986,15118207,0.7,99.3
183,RBG,14441292,14017361,423931,97.1,2.9
184,Upgrade,14377130,11977130,2400000,83.3,16.7
185,"Eighth Grade",14347433,13539709,807724,94.4,5.6
186,"Thugs of Hindostan",14341431,1449848,12891583,10.1,89.9
187,Unsane,14293601,7732899,6560702,54.1,45.9
188,Colette,14273033,5137622,9135411,36,64
189,"Ya veremos",14134723,4165949,9968774,29.5,70.5
190,"The Quake",13747547,6235,13741312,0,100
191,"Three Identical Strangers",13448497,12320845,1127652,91.6,8.4
192,"Hotel Artemis",13313581,6708147,6605434,50.4,49.6
193,"The Sisters Brothers",13143056,3143056,10000000,23.9,76.1
194,"Welcome to Marwen",13061491,10763520,2297971,82.4,17.6
195,"Take Point",12908032,112386,12795646,0.9,99.1
196,"Luis and the Aliens",12627729,169710,12458019,1.3,98.7
197,"Can You Ever Forgive Me?",12442161,8803865,3638296,70.8,29.2
198,Rampant,12359573,167937,12191636,1.4,98.6
199,"Tall Tales from the Magical Garden of Antoon Krings 2018 Re-release",12353849,220,12353629,0,100
200,"102 Not Out",12214889,1343797,10871092,11,89
201,"Boy Erased",11853081,6788692,5064389,57.3,42.7
202,Unstoppable,11845347,101417,11743930,0.9,99.1
203,"Last Letter",11834622,180946,11653676,1.5,98.5
204,"Ash Is Purest White",11813509,422814,11390695,3.6,96.4
205,"King of Thieves",11338478,7518,11330960,0,99.9
206,Ballon,11211641,16792,11194849,0.1,99.9
207,"La boda de Valentina",11021794,2783739,8238055,25.3,74.7
208,"At Eternity's Gate",11005713,2294915,8710798,20.9,79.1
209,Gringo,11001627,4969853,6031774,45.2,54.8
210,Suspiria,10917242,5458621,5458621,50,50
211,2.0,10847903,4152000,6695903,38.3,61.7
212,"Golden Slumber",10733326,94450,10638876,0.9,99.1
213,"Red Joan",10647493,1579730,9067763,14.8,85.2
214,"Every Day",10421847,6102076,4319771,58.6,41.4
215,"Swing Kids",10397408,222001,10175407,2.1,97.9
216,"Lobster Cop",10373129,85693,10287436,0.8,99.2
217,Kin,10313019,5718096,4594923,55.4,44.6
218,"Girls vs Gangsters",10265819,37115,10228704,0.4,99.6
219,"The Miracle Season",10230620,10230620,0,100,0
220,"Ben Is Back",10134204,3703184,6431020,36.5,63.5
221,"The Princess and the Matchmaker",9899017,78900,9820117,0.8,99.2
222,Simmba,9865268,5102129,4763139,51.7,48.3
223,Traffik,9515914,9186156,329758,96.5,3.5
224,Mid90s,9303022,7362439,1940583,79.1,20.9
225,Replicas,9206925,4046429,5160496,43.9,56.1
226,Champion,8974547,97472,8877075,1.1,98.9
227,"7 Days in Entebbe",8771432,3326885,5444547,37.9,62.1
228,"Pope Francis - A Man Of His Word",8608385,2008385,6600000,23.3,76.7
229,A-X-L,8467697,6501381,1966316,76.8,23.2
230,"Life Itself",7884399,4102648,3781751,52,48
231,Disobedience,7870127,3498782,4371345,44.5,55.5
232,"Qué León",7807916,2607916,5200000,33.4,66.6
233,"Leave No Trace",7682928,6046104,1636824,78.7,21.3
234,Burning,7558651,718991,6839660,9.5,90.5
235,Beirut,7509436,5019226,2490210,66.8,33.2
236,"God's Not Dead: A Light in Darkness",7414178,5728940,1685238,77.3,22.7
237,"Return of the Hero",7362730,37108,7325622,0.5,99.5
238,"Amazing Grace",7212253,4450456,2761797,61.7,38.3
239,"In Safe Hands",7079175,1737,7077438,0,100
240,"Dog Days",6819044,6809080,9964,99.9,0.1
241,"Race 3",6817391,1690861,5126530,24.8,75.2
242,"Fahrenheit 11/9",6674168,6352306,321862,95.2,4.8
243,Soorma,6579645,390077,6189568,5.9,94.1
244,Gotti,6412349,4343227,2069122,67.7,32.3
245,"Unbroken: Path to Redemption",6216897,6216897,0,100,0
246,Ploey,6146292,77815,6068477,1.3,98.7
247,"Mobile Suit Gundam Narrative",6126259,259224,5867035,4.2,95.8
248,"Death of a Nation",5885881,5885881,0,100,0
249,Pandas,5819601,5757906,61695,98.9,1.1
250,"Incident in a Ghostland",5643957,0,5643957,0,100
251,"El Angel",5604680,109608,5495072,2,98
252,"Don't Worry, He Won't Get Far on Foot",5586078,2793039,2793039,50,50
253,Destroyer,5580940,1533324,4047616,27.5,72.5
254,"A Wizard's Tale",5487261,2150,5485111,0,100
255,"Action Point",5103663,5059608,44055,99.1,0.9
256,"Never Look Away",5083864,1304042,3779822,25.7,74.3
257,Dogman,5080147,148225,4931922,2.9,97.1
258,Blindspotting,5004504,4333394,671110,86.6,13.4
259,"Sgt. Stubby: An American Hero",4932694,4015935,916759,81.4,18.6
260,Samson,4873825,4719928,153897,96.8,3.2
261,"Hamlet 2018 Re-release",4630718,235229,4395489,5.1,94.9
262,"Bad Samaritan",4623836,3435047,1188789,74.3,25.7
263,Whitney,4605123,3026351,1578772,65.7,34.3
264,"The Guilty",4598051,207140,4390911,4.5,95.5
265,Papillon,4516580,2335896,2180684,51.7,48.3
266,"Juliet, Naked",4508260,3444895,1063365,76.4,23.6
267,"Woman at War",4476065,847495,3628570,18.9,81.1
268,"Storm Boy",4252706,71760,4180946,1.7,98.3
269,Hichki,4219279,330279,3889000,7.8,92.2
270,"Ghost Stories",4131358,148747,3982611,3.6,96.4
271,"The Fall of the American Empire",4090388,2178460,1911928,53.3,46.7
272,"American Animals",4080073,2856954,1223119,70,30
273,"Penguin Highway",4006647,104567,3902080,2.6,97.4
274,"First Reformed",3862498,3448256,414242,89.3,10.7
275,"A Private War",3826678,1633208,2193470,42.7,57.3
276,Custody,3790303,83882,3706421,2.2,97.8
277,"Night of 7 Years",3716820,24281,3692539,0.7,99.3
278,"Gosnell: The Trial of America's Biggest Serial Killer",3679893,3679893,0,100,0
279,Non-Fiction,3618888,704919,2913969,19.5,80.5
280,Indivisible,3589633,3511417,78216,97.8,2.2
281,"The Apparition",3562793,28293,3534500,0.8,99.2
282,"The Oscar Nominated Short Films 2018: Live Action",3511123,3508777,2346,99.9,0
283,"The Metropolitan Opera HD Live: Puccini: Tosca",3473616,2023749,1449867,58.3,41.7
284,"The Rider",3434963,2419031,1015932,70.4,29.6
285,"Patrick the Pug",3369468,6290,3363178,0.2,99.8
286,"On Chesil Beach",3335913,745971,2589942,22.4,77.6
287,Breath,3322479,37108,3285371,1.1,98.9
288,"The House That Jack Built",3297010,170113,3126897,5.2,94.8
289,"Bharath Ane Nenu",3276257,2663090,613167,81.3,18.7
290,"The Front Runner",3242235,2000105,1242130,61.7,38.3
291,Wildlife,3231638,1050616,2181022,32.5,67.5
292,Thoroughbreds,3187255,3072605,114650,96.4,3.6
293,"Tea With the Dames",3181152,889343,2291809,28,72
294,"Made for More",2999134,2999134,0,100,0
295,"Memoir of War",2980982,103636,2877346,3.5,96.5
296,"God Bless the Broken Road",2848233,2846257,1976,99.9,0
297,"Hold Your Breath",2842040,77987,2764053,2.7,97.3
298,McQueen,2739246,1257275,1481971,45.9,54.1
299,Edie,2728801,69421,2659380,2.5,97.5
300,"Billionaire Boys Club",2713955,1349,2712606,0,100
301,"The Happy Prince",2621992,466440,2155552,17.8,82.2
302,"The Little Mermaid",2610742,147175,2463567,5.6,94.4
303,Racetime,2600728,1875283,725445,72.1,27.9
304,Zero,2595762,1035388,1560374,39.9,60.1
305,"Leo Da Vinci: Mission Mona Lisa",2588859,19978,2568881,0.8,99.2
306,"Assassination Nation",2584988,2005142,579846,77.6,22.4
307,"Maquia: When the Promised Flower Blooms 2018 Re-release",2569927,18539,2551388,0.7,99.3
308,"Birds of Passage",2517349,507259,2010090,20.2,79.8
309,"Lean on Pete",2443584,1163056,1280528,47.6,52.4
310,"The Breadwinner 2018 Re-release",2426907,834,2426073,0,100
311,"Hearts Beat Loud",2417165,2386251,30914,98.7,1.3
312,1991,2342264,2342264,0,100,0
313,"The Man Who Killed Don Quixote",2301430,391963,1909467,17,83
314,"The House That Jack Built 2018 Re-release",2268855,87993,2180862,3.9,96.1
315,Puzzle,2260946,2032018,228928,89.9,10.1
316,"An Interview with God",2251795,1201434,1050361,53.4,46.6
317,"At War",2235052,4605,2230447,0.2,99.8
318,"3 Faces",2191516,72324,2119192,3.3,96.7
319,"Maria By Callas 2018 Re-release",2185562,1267301,918261,58,42
320,Border,2177678,771930,1405748,35.4,64.6
321,"Veere Di Wedding",2176099,0,2176099,0,100
322,"High Life",2133033,1225852,907181,57.5,42.5
323,"Indian Horse",2097362,2097362,0,100,0
324,"Mary Shelley",2096600,108900,1987700,5.2,94.8
325,"Black '47",2073063,57520,2015543,2.8,97.2
326,"Under the Silver Lake",2053469,46083,2007386,2.2,97.8
327,Raid,2031135,1010385,1020750,49.7,50.3
328,Climax,2027391,817339,1210052,40.3,59.7
329,Peterloo,1998945,151971,1846974,7.6,92.4
330,"The Metropolitan Opera HD Live: Verdi: La Traviata",1982588,1882931,99657,95,5
331,"Maquia: When the Promised Flower Blooms",1979604,185699,1793905,9.4,90.6
332,"The Pact",1855647,2488,1853159,0.1,99.9
333,"Sweet Country",1847693,104297,1743396,5.6,94.4
334,"The Little Stranger",1824902,713143,1111759,39.1,60.9
335,"The Seagull",1820461,1252960,567501,68.8,31.2
336,Moses,1807117,1807117,0,100,0
337,"The Metropolitan Opera HD Live: Puccini: La Bohème",1764201,1764201,0,100,0
338,"The Metropolitan Opera HD Live: Massenet: Cendrillon",1747259,1243306,503953,71.2,28.8
339,Beast,1744071,800365,943706,45.9,54.1
340,"A Faithful Man",1719282,77491,1641791,4.5,95.5
341,"Grease 2018 Re-release",1710727,1213413,497314,70.9,29.1
342,"The Wild Pear Tree",1696258,34014,1662244,2,98
343,"Sorry Angel",1636273,30628,1605645,1.9,98.1
344,"I Still See You",1620637,1359,1619278,0,99.9
345,"The Metropolitan Opera HD Live: Verdi: Aida",1595902,1595902,0,100,0
346,"Made in India",1594164,790628,803536,49.6,50.4
347,Yardie,1551163,36012,1515151,2.3,97.7
348,"Mystery Train",1544973,1541218,3755,99.8,0.2
349,Kedarnath,1538846,901131,637715,58.6,41.4
350,"Princess Mononoke 2018 Re-release",1519321,1423877,95444,93.7,6.3
351,"The Miseducation of Cameron Post",1451729,904703,547026,62.3,37.7
352,"The Dawn Wall 2018 Re-release",1442013,970032,471981,67.3,32.7
353,"Little Women",1428125,1379497,48628,96.6,3.4
354,"Vox Lux",1399272,727119,672153,52,48
355,"Sometimes Always Never",1377856,0,1377856,0,100
356,"Swimming with Men",1377748,24708,1353040,1.8,98.2
357,"Little Italy",1362536,990230,372306,72.7,27.3
358,Foxtrot,1356159,618883,737276,45.6,54.4
359,Mandy,1335484,1214525,120959,90.9,9.1
360,"The Metropolitan Opera HD Live: Rossini: Semiramide",1332900,1033651,299249,77.5,22.5
361,"The Metropolitan Opera HD Live: Mozart: Così fan tutte",1302949,1302949,0,100,0
362,"The Cakemaker",1287568,875751,411817,68,32
363,"Shed Skin Papa",1278065,13331,1264734,1,99
364,"Yellow Submarine",1273261,992305,280956,77.9,22.1
365,"Beautifully Broken",1271572,1209645,61927,95.1,4.9
366,Guy,1257937,1319,1256618,0.1,99.9
367,"The Captain",1196669,109226,1087443,9.1,90.9
368,"The Metropolitan Opera HD Live: Saint-Saëns: Samson et Dalila",1195758,1195758,0,100,0
369,"The Metropolitan Opera HD Live: Verdi: Luisa Miller",1166858,1166858,0,100,0
370,Roma,1148031,0,1148031,0,100
371,"Elliot the Littlest Reindeer 2018 Re-release",1145012,24262,1120750,2.1,97.9
372,"Look Away",1119537,0,1119537,0,100
373,"The Metropolitan Opera HD Live: Donizetti: L'Elisir d'Amore",1115018,1115018,0,100,0
374,Sunset,1083299,164906,918393,15.2,84.8
375,"The Dark Crystal 2018 Re-release",1036956,1036956,0,100,0
376,"The Metropolitan Opera HD Live: Puccini: La Fanciulla del West",1023233,1023233,0,100,0
377,"Husband Material",1016545,567417,449128,55.8,44.2
378,"Elvis: The Comeback Special",1010657,1010657,0,100,0
379,"National Theatre Live: Antony & Cleopatra",998079,83672,914407,8.4,91.6
380,"Labyrinth 2018 Re-release",993336,993336,0,100,0
381,Transit,982372,815290,167082,83,17
382,"Journey's End",970809,161796,809013,16.7,83.3
383,"A Prayer Before Dawn",958883,14453,944430,1.5,98.5
384,"The Endless",956425,272020,684405,28.4,71.6
385,"The Catcher Was a Spy",953953,725223,228730,76,24
386,"Becoming Astrid",938766,120486,818280,12.8,87.2
387,"Schindler's List 2018 Re-release",937140,833050,104090,88.9,11.1
388,"White Christmas 2018 Re-release",928298,928298,0,100,0
389,"Like Arrows",928265,817990,110275,88.1,11.9
390,"Kirk Cameron: Connect",918127,918127,0,100,0
391,"The Lodgers",916727,7362,909365,0.8,99.2
392,Revenge,913331,102091,811240,11.2,88.8
393,Kings,910269,274635,635634,30.2,69.8
394,"The Metropolitan Opera HD Live: Nico Muhly: Marnie",865551,849710,15841,98.2,1.8
395,Lizzie,844786,642157,202629,76,24
396,"BANDSTAND: The Broadway Musical on Screen",839554,839554,0,100,0
397,"The Heiresses",811196,78473,732723,9.7,90.3
398,"Mrs. Hyde",778142,18627,759515,2.4,97.6
399,"The Invisibles",764250,407373,356877,53.3,46.7
400,"Pick of the Litter",763688,578717,184971,75.8,24.2
401,Museo,759626,148505,611121,19.5,80.5
402,Boundaries,755977,703438,52539,93.1,6.9
403,"Ramen Shop",734347,88455,645892,12,88
404,"The Polar Express 2018 Re-release",731018,731018,0,100,0
405,"Slaughterhouse Rulez",730762,4665,726097,0.6,99.4
406,"Liz and the Blue Bird",726454,63204,663250,8.7,91.3
407,"HBO Boxing: Canelo Alvarez vs. Gennady Golovkin II",707875,707875,0,100,0
408,Itzhak,704968,607290,97678,86.1,13.9
409,Blaze,704955,704955,0,100,0
410,"Jim Henson's Holiday Special with Fraggle Rock and Emmet Otter",695130,695130,0,100,0
411,"In the Aisles",694586,28394,666192,4.1,95.9
412,"The Trump Prophecy",671198,671198,0,100,0
413,"Anna and the Apocalypse",670430,545597,124833,81.4,18.6
414,"Dragon Ball Z: Broly - The Legendary Super Saiyan",658982,658982,0,100,0
415,"Ponyo 2018 Re-release",653072,653072,0,100,0
416,"Batti Gul Meter Chalu",635869,249539,386330,39.2,60.8
417,"Love, Gilda",626318,626318,0,100,0
418,"The Sound of Music 2018 Re-release",624392,616171,8221,98.7,1.3
419,"Die Hard 30th Anniversary Release",620525,510241,110284,82.2,17.8
420,"The Transformers",619597,619597,0,100,0
421,"The Reports on Sarah and Saleem",607206,117479,489727,19.3,80.7
422,"The Walking Dead: Wrath/The Walking Dead/Fear the Walking Dead: What's Your Story?/Fear the Walking ",605764,605764,0,100,0
423,"DCI 2019: Big, Loud & Live 16",603320,603320,0,100,0
424,"Oh Lucy!",600145,375391,224754,62.6,37.4
425,"The Big Lebowski 2018 Re-release",592832,582585,10247,98.3,1.7
426,"Bilal: A New Breed of Hero 2018 Re-release",576805,490973,85832,85.1,14.9
427,"The Cat Returns 2018 Re-release",563718,563718,0,100,0
428,"Beetlejuice 2018 Re-release",562613,512947,49666,91.2,8.8
429,"Kusama: Infinity",558052,360931,197121,64.7,35.3
430,"Castle in the Sky 2018 Re-release",557541,523664,33877,93.9,6.1
431,Rojo,557092,94757,462335,17,83
432,Dhadak,549628,0,549628,0,100
433,"My Generation",546183,0,546183,0,100
434,"He's Out There",544674,0,544674,0,100
435,"Dragon Ball Z: Bardock - The Father of Goku/Dragon Ball Z: Fusion Reborn",540707,540707,0,100,0
436,Karwaan,536525,182009,354516,33.9,66.1
437,"What They Had",533579,260136,273443,48.8,51.2
438,"Grave of the Fireflies",516962,516962,0,100,0
439,"The Sandlot 2018 Re-release",516130,516130,0,100,0
440,"Bullitt 2018 Re-release",511350,511350,0,100,0
441,"Monsters and Men",510967,500101,10866,97.9,2.1
442,"Have a Nice Day",504003,79393,424610,15.8,84.2
443,"London Fields",487420,252676,234744,51.8,48.2
444,Matangi/Maya/M.I.A,469489,230808,238681,49.2,50.8
445,"Puffs: Filmed Live Off Broadway",464483,464483,0,100,0
446,MFKZ,461724,229423,232301,49.7,50.3
447,"Scotty and the Secret History of Hollywood",461689,461689,0,100,0
448,"South Pacific 2018 Re-release",458000,458000,0,100,0
449,"The Gospel According to André",454550,400713,53837,88.2,11.8
450,"Leaning Into The Wind",452372,400530,51842,88.5,11.5
451,"Porco Rosso 2018 Re-release",443059,443059,0,100,0
